freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,1.05E+00,-1.48E-01
8.57E+04,1.05E+00,-1.24E-01
7.34E+04,1.05E+00,-1.02E-01
6.29E+04,1.05E+00,-8.43E-02
5.39E+04,1.05E+00,-6.76E-02
4.62E+04,1.06E+00,-5.26E-02
3.96E+04,1.06E+00,-4.04E-02
3.39E+04,1.06E+00,-3.08E-02
2.91E+04,1.06E+00,-2.13E-02
2.49E+04,1.06E+00,-1.37E-02
2.14E+04,1.07E+00,-5.55E-03
1.83E+04,1.07E+00,4.15E-04
1.57E+04,1.07E+00,6.10E-03
1.34E+04,1.08E+00,1.23E-02
1.15E+04,1.08E+00,1.70E-02
9.87E+03,1.08E+00,2.18E-02
8.46E+03,1.08E+00,2.66E-02
7.25E+03,1.09E+00,2.92E-02
6.22E+03,1.09E+00,3.27E-02
5.34E+03,1.10E+00,3.84E-02
4.57E+03,1.10E+00,4.18E-02
3.91E+03,1.10E+00,4.55E-02
3.35E+03,1.11E+00,4.95E-02
2.87E+03,1.11E+00,5.33E-02
2.46E+03,1.12E+00,5.66E-02
2.11E+03,1.12E+00,6.21E-02
1.81E+03,1.13E+00,6.67E-02
1.55E+03,1.13E+00,7.09E-02
1.33E+03,1.14E+00,7.70E-02
1.14E+03,1.15E+00,8.24E-02
9.75E+02,1.16E+00,8.85E-02
8.35E+02,1.16E+00,9.39E-02
7.16E+02,1.17E+00,1.01E-01
6.14E+02,1.18E+00,1.06E-01
5.26E+02,1.19E+00,1.15E-01
4.51E+02,1.20E+00,1.22E-01
3.86E+02,1.21E+00,1.30E-01
3.31E+02,1.23E+00,1.37E-01
2.84E+02,1.24E+00,1.45E-01
2.43E+02,1.25E+00,1.54E-01
2.08E+02,1.27E+00,1.63E-01
1.78E+02,1.28E+00,1.72E-01
1.53E+02,1.30E+00,1.82E-01
1.31E+02,1.32E+00,1.91E-01
1.12E+02,1.34E+00,2.01E-01
9.63E+01,1.36E+00,2.12E-01
8.25E+01,1.38E+00,2.22E-01
7.07E+01,1.40E+00,2.33E-01
6.06E+01,1.42E+00,2.43E-01
5.19E+01,1.45E+00,2.53E-01
4.45E+01,1.48E+00,2.63E-01
3.82E+01,1.51E+00,2.72E-01
3.27E+01,1.54E+00,2.80E-01
2.80E+01,1.57E+00,2.89E-01
2.40E+01,1.60E+00,2.95E-01
2.06E+01,1.63E+00,3.00E-01
1.76E+01,1.67E+00,3.04E-01
1.51E+01,1.70E+00,3.07E-01
1.29E+01,1.74E+00,3.07E-01
1.11E+01,1.78E+00,3.07E-01
9.50E+00,1.81E+00,3.02E-01
8.16E+00,1.84E+00,2.98E-01
6.99E+00,1.88E+00,2.93E-01
5.98E+00,1.91E+00,2.81E-01
5.13E+00,1.94E+00,2.74E-01
4.40E+00,1.97E+00,2.61E-01
3.76E+00,2.00E+00,2.50E-01
3.23E+00,2.03E+00,2.36E-01
2.76E+00,2.05E+00,2.22E-01
2.37E+00,2.08E+00,2.08E-01
2.03E+00,2.10E+00,1.94E-01
1.74E+00,2.12E+00,1.79E-01
1.49E+00,2.13E+00,1.64E-01
1.28E+00,2.15E+00,1.51E-01
1.09E+00,2.16E+00,1.37E-01
9.39E-01,2.17E+00,1.24E-01
8.05E-01,2.18E+00,1.12E-01
6.89E-01,2.19E+00,1.01E-01
5.91E-01,2.20E+00,9.11E-02
5.06E-01,2.20E+00,8.09E-02
4.34E-01,2.21E+00,7.21E-02
3.72E-01,2.22E+00,6.43E-02
3.18E-01,2.22E+00,5.73E-02
2.73E-01,2.22E+00,5.09E-02
2.34E-01,2.23E+00,4.46E-02
2.01E-01,2.23E+00,3.96E-02
1.72E-01,2.23E+00,3.50E-02
1.47E-01,2.23E+00,3.10E-02
1.26E-01,2.24E+00,2.68E-02
1.08E-01,2.24E+00,2.37E-02
9.28E-02,2.24E+00,2.08E-02
7.94E-02,2.24E+00,1.82E-02
6.81E-02,2.24E+00,1.59E-02
5.84E-02,2.24E+00,1.41E-02
5.00E-02,2.24E+00,1.22E-02
