freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,1.82E+00,-1.37E-01
8.57E+04,1.82E+00,-1.12E-01
7.35E+04,1.82E+00,-9.01E-02
6.30E+04,1.83E+00,-7.15E-02
5.40E+04,1.83E+00,-5.54E-02
4.62E+04,1.83E+00,-4.12E-02
3.96E+04,1.83E+00,-2.84E-02
3.40E+04,1.84E+00,-1.90E-02
2.91E+04,1.84E+00,-8.63E-03
2.49E+04,1.84E+00,-3.53E-04
2.14E+04,1.85E+00,8.23E-03
1.83E+04,1.85E+00,1.50E-02
1.57E+04,1.85E+00,2.15E-02
1.35E+04,1.86E+00,2.73E-02
1.15E+04,1.86E+00,3.34E-02
9.89E+03,1.87E+00,3.73E-02
8.54E+03,1.87E+00,4.30E-02
7.27E+03,1.88E+00,4.80E-02
6.23E+03,1.88E+00,5.26E-02
5.39E+03,1.89E+00,5.68E-02
4.57E+03,1.89E+00,6.26E-02
3.92E+03,1.90E+00,6.73E-02
3.36E+03,1.91E+00,7.21E-02
2.88E+03,1.91E+00,7.78E-02
2.47E+03,1.92E+00,8.30E-02
2.12E+03,1.93E+00,8.87E-02
1.81E+03,1.94E+00,9.28E-02
1.55E+03,1.94E+00,1.00E-01
1.33E+03,1.95E+00,1.05E-01
1.14E+03,1.96E+00,1.13E-01
9.78E+02,1.97E+00,1.21E-01
8.38E+02,1.99E+00,1.28E-01
7.18E+02,2.00E+00,1.36E-01
6.16E+02,2.01E+00,1.45E-01
5.27E+02,2.02E+00,1.53E-01
4.52E+02,2.04E+00,1.63E-01
3.88E+02,2.05E+00,1.72E-01
3.32E+02,2.07E+00,1.82E-01
2.85E+02,2.09E+00,1.93E-01
2.44E+02,2.10E+00,2.04E-01
2.09E+02,2.12E+00,2.15E-01
1.79E+02,2.14E+00,2.26E-01
1.54E+02,2.17E+00,2.37E-01
1.32E+02,2.19E+00,2.48E-01
1.13E+02,2.21E+00,2.61E-01
9.68E+01,2.24E+00,2.73E-01
8.29E+01,2.27E+00,2.85E-01
7.10E+01,2.30E+00,2.98E-01
6.09E+01,2.33E+00,3.09E-01
5.22E+01,2.36E+00,3.21E-01
4.47E+01,2.39E+00,3.33E-01
3.83E+01,2.43E+00,3.44E-01
3.29E+01,2.47E+00,3.55E-01
2.82E+01,2.50E+00,3.65E-01
2.41E+01,2.54E+00,3.74E-01
2.07E+01,2.58E+00,3.82E-01
1.77E+01,2.63E+00,3.89E-01
1.52E+01,2.67E+00,3.93E-01
1.30E+01,2.72E+00,3.95E-01
1.12E+01,2.76E+00,3.96E-01
9.56E+00,2.80E+00,3.94E-01
8.19E+00,2.85E+00,3.93E-01
7.03E+00,2.90E+00,3.87E-01
6.02E+00,2.94E+00,3.80E-01
5.16E+00,2.98E+00,3.70E-01
4.42E+00,3.02E+00,3.59E-01
3.79E+00,3.06E+00,3.44E-01
3.25E+00,3.10E+00,3.35E-01
2.78E+00,3.14E+00,3.18E-01
2.38E+00,3.17E+00,3.03E-01
2.04E+00,3.20E+00,2.86E-01
1.75E+00,3.23E+00,2.68E-01
1.50E+00,3.26E+00,2.51E-01
1.29E+00,3.28E+00,2.35E-01
1.10E+00,3.30E+00,2.18E-01
9.46E-01,3.32E+00,2.00E-01
8.11E-01,3.34E+00,1.84E-01
6.94E-01,3.35E+00,1.69E-01
5.96E-01,3.37E+00,1.54E-01
5.11E-01,3.38E+00,1.40E-01
4.38E-01,3.39E+00,1.26E-01
3.75E-01,3.40E+00,1.14E-01
3.21E-01,3.41E+00,1.03E-01
2.75E-01,3.41E+00,9.22E-02
2.36E-01,3.42E+00,8.23E-02
2.02E-01,3.42E+00,7.34E-02
1.73E-01,3.43E+00,6.56E-02
1.49E-01,3.43E+00,5.82E-02
1.27E-01,3.43E+00,5.18E-02
1.09E-01,3.44E+00,4.61E-02
9.35E-02,3.44E+00,4.07E-02
8.01E-02,3.44E+00,3.59E-02
6.87E-02,3.44E+00,3.22E-02
5.88E-02,3.44E+00,2.83E-02
5.05E-02,3.44E+00,2.50E-02
4.33E-02,3.44E+00,2.17E-02
3.70E-02,3.45E+00,1.93E-02
3.18E-02,3.45E+00,1.73E-02
2.72E-02,3.45E+00,1.51E-02
2.33E-02,3.45E+00,1.32E-02
2.00E-02,3.45E+00,1.16E-02
